region;year;poverty_percent;population;disabled_total;disabled_18_30;disabled_31_40;disabled_41_50;disabled_51_60;disabled_60_plus;newborns;child_deaths_urban;child_deaths_rural;poor_children_share;poor_old_share;poor_working_share;hh_no_crowding;hh_some_crowding;hh_high_crowding;area_total_per_capita;area_living_per_capita;rooms_per_hh;hh_plan_improve;drug_alco_rate;workers_share;cash_income_per_capita;real_incomes_index;formal_wage_paid;real_wage_index;welfare_expense_share;grp_per_capita;industry_total;mining;manufacturing;energy;water_waste;retail_turnover;crime_juveniles;crime_repeat_offenders;crime_prev_convicted;crime_group;crime_group_prep;crime_organized_group;crime_criminal_community;crime_intox_alcohol;crime_intox_narcotic;crime_intox_toxic;poor_abs;production_pc;retail_to_income;birth_rate_per_1000;infant_mortality_per_1000;disabled_per_1000
Нижегородская область;2017;10.0;3247713.0;296918.0;10282.0;14035.0;18835.0;43662.0;210104.0;28741.0;143.0;43.0;38.7;10.9;50.4;;;;;;;;;92.8;30326.0;96.4;30387.0;102.6;23.0;428207.8;1367185003.61;1167562.3;1237832576.91;99013133.8;29171730.6;215014.0;838.0;11306.0;6670.0;47.0;1558.0;122.0;4.0;7408.0;322.0;2.0;324771.3;420.9685411272486;7.090087713513157;8.849612019288651;6.471591106781253;91.42371878303287
Нижегородская область;2018;9.5;3234752.0;289702.0;9652.0;14222.0;19030.0;41533.0;205265.0;26523.0;141.0;47.0;40.1;5.6;54.3;;;;;;;;45.3;93.1;31408.0;99.4;32949.0;104.6;23.6;465830.1;1531786797.92;1800735.5;1391676488.93;109520130.59;28789442.9;229162.0;712.0;11775.0;6964.0;59.0;1674.0;161.0;17.0;7218.0;77.0;7.0;307301.44;473.54072210790815;7.296293937850229;8.199392101774727;7.088187610752931;89.55926142096828
Нижегородская область;2019;9.5;3214623.0;285372.0;9343.0;14313.0;19791.0;39575.0;202350.0;26425.0;107.0;39.0;31.9;9.7;58.5;;;;;;;;44.9;93.2;33817.0;102.5;35212.0;102.4;22.4;505460.2;1643353332.27;2141150.1;1498896026.64;110434859.73;31881295.8;243303.0;789.0;12479.0;7356.0;53.0;2192.0;107.0;0.0;6991.0;140.0;0.0;305389.185;511.2118379884671;7.194694975899695;8.220248533031713;5.525070955534532;88.7730847443075
Нижегородская область;2020;9.4;3202946.0;275417.0;9313.0;14407.0;20095.0;37145.0;194457.0;23375.0;102.0;26.0;31.7;3.8;64.5;80.8;16.5;2.7;24.0;17.5;2.3;8.8;36.8;91.5;33645.0;95.2;37601.0;102.8;22.2;497418.6;1500778959.84;1474376.8;1356573016.08;108269824.66;34461742.3;237008.0;828.0;12512.0;7412.0;44.0;2153.0;242.0;11.0;6824.0;195.0;1.0;301076.924;468.56205500810813;7.044375092881557;7.297968807466626;5.475935828877006;85.9886491998304
Новгородская область;2015;13.9;618703.0;;;;;;;7364.0;21.0;23.0;;;;;;;;;;;;88.3;25631.0;96.5;26346.0;90.8;18.0;379255.5;207782287.7;2414111.5;189449897.7;15918278.5;;173380.0;;;;;;;;;;;85999.717;335.8352678102417;6.764464905778159;11.902318236698383;5.975013579576317;
Новгородская область;2016;14.8;615692.0;;;;;;;7255.0;27.0;5.0;;;;;;;;;;;;88.8;25285.0;91.8;27914.0;99.0;18.8;412072.9;216708962.20999998;3735095.6;191679854.47;21294012.14;;176740.0;412.0;3465.0;2350.0;39.0;725.0;62.0;0.0;2637.0;54.0;2.0;91122.416;351.97625145364884;6.9899149693494165;11.783489147170988;4.410751206064782;
Новгородская область;2017;13.9;612522.0;62099.0;2206.0;3553.0;4573.0;10596.0;41171.0;5729.0;26.0;11.0;30.4;11.0;58.5;;;;;;;;;89.3;25757.0;97.6;29311.0;101.4;25.0;420289.0;205978649.6;1593288.9;181982321.9;19405068.2;2997970.8;183565.0;370.0;3185.0;2198.0;32.0;625.0;65.0;0.0;2237.0;50.0;1.0;85140.558;336.27959420233066;7.126800481422526;9.353133438472414;6.458369698027579;101.38248095578608
Новгородская область;2018;13.6;606476.0;59699.0;1999.0;3515.0;4441.0;9805.0;39939.0;5343.0;19.0;9.0;24.0;12.0;64.0;;;;;;;;55.2;90.0;25292.0;94.2;31462.0;104.0;23.9;429668.2;227286927.3;1178197.8;201188437.3;21581520.4;3338771.8;191135.0;343.0;3417.0;2225.0;27.0;626.0;9.0;0.0;2153.0;29.0;1.0;82480.73599999999;374.7665650413207;7.557132690178713;8.809911686530052;5.240501590866554;98.43588204644536
Новгородская область;2019;13.8;600296.0;56772.0;1873.0;3413.0;4261.0;8782.0;38443.0;5184.0;19.0;9.0;38.8;4.7;56.5;;;;;;;;56.5;88.4;26003.0;97.7;32174.0;98.0;21.9;457123.3;227050140.7;1153230.8;202563486.8;19871297.8;3462125.6;201392.0;330.0;2946.0;1971.0;21.0;496.0;120.0;60.0;1803.0;17.0;3.0;82840.84800000001;378.2303075482762;7.7449525054801365;8.635739701747138;5.401234567901234;94.57334381705026
Новгородская область;2020;13.6;596508.0;54891.0;1831.0;3408.0;4359.0;8164.0;37129.0;4409.0;12.0;8.0;40.1;1.3;58.6;86.3;12.5;1.2;25.6;17.6;2.3;12.7;51.5;82.2;26268.0;96.8;34169.0;102.4;25.3;471333.3;232368357.2;962587.4;208251704.2;19773169.6;3380896.0;204547.0;384.0;3070.0;2040.0;18.0;591.0;91.0;61.0;1910.0;5.0;1.0;81125.088;389.54776331583145;7.786927059540125;7.391350996130814;4.536176003628941;92.02055965720493
