region,birth_rate_per_1000,infant_mortality_per_1000,cash_income_per_capita,poverty_percent,poor_children_share,poor_old_share,disabled_per_1000,drug_alco_rate,area_living_per_capita,hh_high_crowding,hh_plan_improve,grp_per_capita,industry_total,retail_to_income,crime_prev_convicted,crime_intox_alcohol,welfare_expense_share,workers_share
Республика Бурятия,12.800006491286968,5.467511885895404,26092.0,19.9,41.7,3.7,74.93886526218206,37.0,17.2,5.0,26.4,307558.8,176343104.02,7.655488272267362,3310.0,4917.0,25.5,64.4
Республика Дагестан,14.94957339743569,6.816324775297811,27661.0,14.8,38.3,5.0,98.84893492406276,,22.5,2.8,16.0,239640.7,67592167.8,6.808322186471928,2102.0,757.0,28.3,54.0
Республика Ингушетия,16.6902995892013,5.553586198747489,16877.0,30.0,38.1,10.6,116.45344445737298,,27.8,0.0,4.6,142199.7,4277505.4,3.004858683415299,205.0,91.0,32.5,56.8
Республика Калмыкия,10.223689306065245,2.886002886002886,19811.0,22.7,33.8,0.3,77.53702030353882,,20.2,2.7,7.9,344933.1,6619456.4,4.341123618191913,572.0,673.0,24.3,69.0
Республика Карелия,8.466544203861487,4.423927678399693,32583.0,15.1,39.0,3.0,95.932997212017,94.0,17.1,6.1,25.3,522245.3,245402003.63,6.953595433201363,2307.0,2440.0,24.2,80.2
Республика Коми,9.233698122912028,2.3759239704329462,36677.0,15.3,40.1,6.6,73.62460434407959,76.4,15.5,5.3,27.8,749219.3,545216634.63,5.498677645390845,4045.0,4150.0,22.7,84.3
Республика Крым,9.864991618835296,5.405978376086496,22950.0,17.2,48.2,1.7,64.54281086382986,,19.0,4.9,10.0,270363.8,171343903.98,6.451895424836601,3743.0,2705.0,15.5,81.1
Республика Марий Эл,8.324784337159652,5.480905233380481,21264.0,19.5,32.8,5.8,88.92035377389733,66.5,16.5,5.8,19.7,290803.3,162458477.17,6.334273890142964,1098.0,1580.0,22.4,71.9
Республика Мордовия,5.806147074716811,3.7053182214472535,20631.0,17.6,,,84.04486476157211,45.9,20.0,3.8,6.1,342811.2,252399282.1,6.17163491832679,1866.0,1890.0,22.5,81.5
Республика Саха (Якутия),11.285025864303968,6.108122891785943,46338.0,17.3,44.2,5.1,54.13705406195087,106.5,16.5,3.2,25.8,1168152.5,937200847.88,5.409793258232984,2183.0,4092.0,16.8,85.1
Республика Северная Осетия-Алания,11.705750412219787,4.045605001838911,23927.0,13.9,34.8,6.8,81.53987230873217,,16.4,12.7,11.2,267814.4,35731140.0,6.831947172650144,2008.0,436.0,25.0,63.8
Республика Татарстан,9.788905036475557,4.449679361340139,35635.0,6.6,42.0,7.3,70.67253787451753,38.4,16.2,3.4,14.5,675621.4,2710057662.01,6.687863055984285,8444.0,8246.0,13.7,88.9
