region,cluster,birth_rate_per_1000,infant_mortality_per_1000,cash_income_per_capita,poverty_percent,poor_children_share,poor_old_share,disabled_per_1000,drug_alco_rate,area_living_per_capita,hh_high_crowding,hh_plan_improve,grp_per_capita,industry_total,retail_to_income,crime_prev_convicted,crime_intox_alcohol,welfare_expense_share,workers_share
Республика Татарстан,2,2.3785182946466548,1.6955567741628108,10.481111641840535,2.028148247292285,42.0,7.3,70.67253787451753,3.673765816303888,2.8449093838194073,1.4816045409242156,2.740840023925201,13.423389619079584,21.72023574947512,6.687863055984285,9.041329829241901,9.017604776833355,13.7,88.9
Республика Тыва,0,3.049504882555025,1.8670929782497527,9.850772194864133,3.487375077903208,45.0,2.6,63.4150215496834,3.871201010907891,2.681021528714291,2.163323025660538,3.673765816303888,12.436393974851287,16.96361342664872,4.054448661184904,7.158513997329321,7.637716432664798,23.8,56.6
Республика Хакасия,2,2.4008482589532676,1.5928837345515958,10.079036225042653,2.970414465569701,43.2,2.4,50.01853023422965,4.213607983048918,2.9391619220655967,2.5494451709255714,2.4423470353692043,13.1232106183943,19.28373218690343,7.365733943029744,7.827240901752812,7.883069351305753,24.1,71.1
Ростовская область,2,2.184235260500497,1.9520638822193204,10.355454494295712,2.6390573296152584,43.9,1.6,82.1111714863497,4.0163830207523885,2.954910279033736,1.5040773967762742,2.6946271807700692,12.909046634463214,20.801475407743055,7.409552295796608,9.18594521514146,8.653819788948063,27.8,80.6
Рязанская область,2,2.1800659404028355,1.8384440292125919,10.215118058306537,2.624668592163159,37.0,3.3,113.71902525776775,3.459466289786131,2.995732273553991,1.0986122886681098,2.6946271807700692,12.93083016327074,19.78714578696488,7.190722026947862,7.508238774678663,7.4413203897176174,22.0,79.2
Самарская область,2,2.1049917743141218,1.898090493497625,10.30541307034576,2.5877640352277083,36.9,9.5,64.37268126252543,3.5380565643793527,2.884800712846709,1.547562508716013,2.7212954278522306,13.132500621481201,21.160005345514584,7.126484461245108,9.1248914101437,8.61993026886735,23.4,90.5
Саратовская область,2,2.1630576192569997,1.4520834074860005,10.08776552762847,2.760009940032921,39.0,2.5,55.04697767657144,3.768152635008444,2.9338568698359038,1.547562508716013,2.6602595372658615,12.789632054830662,20.16055783575612,6.8479164933876735,8.567886305731756,8.543445562560303,27.7,74.8
Сахалинская область,1,2.521795856973755,1.6995476860056902,11.014867980481917,2.163323025660538,39.4,4.6,43.71673114773572,4.688591794127164,2.9014215940827497,1.252762968495368,2.6100697927420065,14.537831758008508,20.527085859685272,5.574905380944545,7.382746449738912,7.492203042618741,16.5,99.9
Свердловская область,2,2.1526472378864376,1.8794338574560066,10.528757310692988,2.302585092994046,46.3,2.2,61.82225035905,3.4307561839036995,2.8213788864092133,1.547562508716013,2.7788192719904172,13.284943005059933,21.634546915101396,6.953363300690319,9.411974239802511,9.370501524100124,23.5,82.3
Смоленская область,2,1.9377269746226435,2.081868400090846,10.245409199825508,2.8094026953624978,34.7,12.0,77.06476383827385,4.154184562578117,3.0155349008501706,0.5877866649021191,2.3513752571634776,12.864306901079836,19.483067980603845,6.612531969309463,7.802618063442671,7.729735331385051,27.2,78.9
